run,thr_train_bestF1,train_ROC@0.5,train_AP@0.5,train_ROC@bestF1,train_AP@bestF1,test_ROC@0.5,test_AP@0.5,test_ROC@bestF1,test_AP@bestF1,test_MCC@bestF1,test_kappa@bestF1
"LR (Random split, baseline)",0.2533493889227528,0.8768642520735059,0.9388682544931704,0.8768642520735059,0.9388682544931704,0.883199990404107,0.9414249041592995,0.883199990404107,0.9414249041592995,0.5294713103373103,0.5196640073103012
"LR (Temporal split, baseline)",0.20057826663110495,0.8898924433676023,0.9588711310465073,0.8898924433676023,0.9588711310465073,0.829593753498729,0.8056994799168793,0.829593753498729,0.8056994799168793,0.34085976990032046,0.27606847897337483
"LR (Temporal split, tuned C)",0.21256418148142012,0.8898637656088368,0.9588720732019906,0.8898637656088368,0.9588720732019906,0.8297444148189923,0.8057890923346959,0.8297444148189923,0.8057890923346959,0.34621377190539593,0.28475182717964054
